route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
366,0000000822024090920250627,0003243142024090920250627,Mezzocorona-Staz.Fs,1,SHAPE03164
311,0000000052024090920250627,0003236982024090920250627,Busarel,0,SHAPE00100
136,0000000022024090920250627,0003192442024090920250627,Cavalese. Autostazione,0,SHAPE03086
153,0000000042024090920250627,0003205932024090920250627,Pranzo,0,SHAPE02826
76,0000000072024122220250322,0003205332024122220250322,Trento. Autostazione,1,SHAPE01202
638,0000000042024090920250627,0003261022024090920250627,Cavalese. Autostazione,0,SHAPE00167
73,0000000062024090920250627,0003202042024090920250627,Tione. Autostazione,1,SHAPE00054
186,0000000022024090920250627,0003222002024090920250627,Pian Dei Pradi,1,SHAPE01633
76,0000004512024090920250627,0003203142024090920250627,Sardagna-Rotatoria,0,SHAPE00250
120,0000000052024090920250627,0003196072024090920250627,Faver Bivio,1,SHAPE01447
78,0000000052024090920250627,0003207002024090920250627,Vezzano. Sud,1,SHAPE01373
175,0000000822024091420250627,0003262952024091420250627,Arco. Svizzera,0,SHAPE02739
345,0000000052024090920250627,0003240732024090920250627,Molveno,0,SHAPE00032
340,0000000062024090920250627,0003199202024090920250627,Rovere'. Trentinalatte,0,SHAPE00098
397,0000000052024090920250627,0003243792024090920250627,Cles. Autostazione,1,SHAPE01655
108,0000000012024090920250627,0003236782024090920250627,Feltre. Staz. Fs,0,SHAPE00434
116,0000000052024090920250627,0003238572024090920250627,Caoria,0,SHAPE01472
507,0000000062024090920250627,0003218802024090920250627,Avio. Via M.Baldo,0,SHAPE01255
634,0000004512024090920250627,0003217842024090920250627,Trento. Autostazione,1,SHAPE00180
175,0000000022024090920250627,0003204632024090920250627,Riva Del G.Autostazione,0,SHAPE01815
90,0000000092024090920250627,0003227272024090920250627,Levico Terme Autostazione,1,SHAPE01513
300,0000000822024090920250627,0003198962024090920250627,Civezzano,0,SHAPE00849
177,0000006512024090920250627,0003231242024090920250627,Pergine V. Intermodale,1,SHAPE00391
326,0000000822024090920250627,0003245402024090920250627,Male',1,SHAPE02225
345,0000000062024090920250627,0003251602024090920250627,Mezzocorona-Staz.Fs,1,SHAPE01727
196,0000000072024122620250323,0003213442024122620250323,Lavarone Cappella,0,SHAPE00857
695,0000004512024093020241130,0003263492024093020241130,Primolano. Staz. Fs,0,
171,0000000412024090920250627,0003201422024090920250627,Riva Del G.Autostazione,1,SHAPE00562
120,0000000092024090920250627,0003197802024090920250627,Trento. Autostazione,1,SHAPE02602
116,0000000052024090920250627,0003238282024090920250627,Canal S. Bovo,1,SHAPE02386
640,0000000022024090920250627,0003234612024090920250627,Via S.Pietro 82-Villa Rosa,0,SHAPE03004
76,0000000022024090920250627,0003203192024090920250627,Trento. Autostazione,1,SHAPE01202
420,0000000012024091020250627,0003262482024091020250627,Riva Del G. Autostazione,0,SHAPE00205
552,0000000022024090920250627,0003230482024090920250627,Roncogno,0,SHAPE00872
562,0000004512024090920250627,0003234932024090920250627,S.Vito di Pergine,0,SHAPE01166
345,0000000042024090920250627,0003241102024090920250627,Andalo-Maso Toscana,0,SHAPE02024
171,0000000822024090920250627,0003202122024090920250627,Riva Del G.Autostazione,1,SHAPE00562
332,0000000022024090920250627,0003244692024090920250627,Male',1,SHAPE02542
134,0000000042024090920250627,0003206702024090920250627,Trento. Autostazione,1,SHAPE01009
357,0000000022024090920250627,0003248732024090920250627,Bresimo,0,SHAPE00695
366,0000000062024102120250627,0003264922024102120250627,Mezzocorona-Staz.Fs,1,SHAPE00010
175,0000000022024090920250627,0003204622024090920250627,Vigo Cavedine,0,SHAPE01597
171,0000000072024090920250627,0003201812024090920250627,Riva Del G.Autostazione,1,SHAPE00102
717,0000000022024093020241130,0003263822024093020241130,Primolano. Staz. Fs,1,SHAPE00438
634,0000000062024090920250627,0003220472024090920250627,Riva Del G.Autostazione,0,SHAPE00611
332,0000000042024090920250627,0003244302024090920250627,Vermiglio. Nord,0,SHAPE00473
78,0000000062024090920250627,0003204742024090920250627,Ranzo,1,SHAPE01025
78,0000000042024090920250627,0003205282024090920250627,Margone,0,SHAPE00022
366,0000000062024102120250627,0003264782024102120250627,Mezzocorona-Staz.Fs,1,SHAPE00101
136,0000000062024090920250627,0003198342024090920250627,Cavalese. Autostazione,0,SHAPE01499
71,0000000072024090920250627,0003209422024090920250627,Ponte Arche Autostazione,1,SHAPE00033
169,0000000022024090920250627,0003232962024090920250627,Samone,0,SHAPE00598
3,0000000052024090920250627,0003194922024090920250627,Cavalese. Autostazione,0,SHAPE02659
171,0000000052024090920250627,0003201942024090920250627,Tiarno di Sopra,0,SHAPE00088
233,0000000042024090920250627,0003220512024090920250627,Crosano. Bivio,0,SHAPE01417
157,0000000052024090920250627,0003207662024090920250627,Storo,1,SHAPE02052
604,0000000042024090920250627,0003192302024090920250627,Cavalese. Autostazione,1,SHAPE00436
55,0000000092024102120250627,0003265252024102120250627,Trento. Autostazione,1,SHAPE01034
520,0000000042024090920250627,0003234152024090920250627,Trento. Autostazione,1,SHAPE01131
375,0000000822024090920250627,0003249102024090920250627,Fondo. Via Garibaldi,0,SHAPE03265
175,0000000072024090920250627,0003205972024090920250627,Vezzano. Apt,1,SHAPE00091
71,0000000022024090920250627,0003210252024090920250627,Tione. Autostazione,0,SHAPE00401
188,0000000062024090920250627,0003230532024090920250627,Pergine V. Intermodale,1,SHAPE00679
186,0000004512024090920250627,0003218092024090920250627,Centa,0,SHAPE00295
177,0000000052024090920250627,0003233242024090920250627,Maso Tingherla,0,SHAPE00588
161,0000004512024090920250627,0003209772024090920250627,Ponte Arche Autostazione,1,SHAPE00694
638,0000000012024090920250627,0003260772024090920250627,Ora-Staz. Fs,1,SHAPE00063
134,0000000092024090920250627,0003208002024090920250627,Due Laghi. Hotel Miralaghi,1,SHAPE00966
672,0000000052024090920250627,0003209812024090920250627,Albola,1,SHAPE00939
551,0000000022024090920250627,0003234852024090920250627,Pergine V. Intermodale,1,SHAPE00288
102,0000000062024090920250627,0003236612024090920250627,S.Martino di Castrozza,1,SHAPE00612
366,0000000822024102120250627,0003264712024102120250627,Cles. Autostazione,0,SHAPE03230
634,0000000092024090920250627,0003220442024090920250627,Riva Del G.Autostazione,0,SHAPE03234
634,0000000022024090920250627,0003217482024090920250627,Rovereto. Via Paoli,1,SHAPE00034
366,0000000022024090920250627,0003243102024090920250627,Mezzolombardo,1,SHAPE00342
1,0000000012024090920250627,0003195542024090920250627,Cavalese. Autostazione,1,SHAPE00812
117,0000000022024090920250627,0003192402024090920250627,Cavalese. Autostazione,0,SHAPE00529
157,0000000022024090920250627,0003210382024090920250627,Vestone,0,SHAPE00453
343,0000000822024090920250627,0003197332024090920250627,Faedo. Pineta,0,SHAPE00631
215,0000000822024090920250627,0003215072024090920250627,Piano di Vallarsa,0,SHAPE02970
638,0000004512024090920250627,0003260982024090920250627,Ora-Staz. Fs,1,SHAPE00063
116,0000000092024090920250627,0003238522024090920250627,Ronco Chiesa,0,SHAPE01068
330,0000000052024090920250627,0003245982024090920250627,Male',1,SHAPE00027
375,0000000022024090920250627,0003242522024090920250627,Fondo. Via Garibaldi,0,SHAPE03295
175,0000000062024090920250627,0003204882024090920250627,Vigo Cavedine,0,SHAPE00394
110,0000000022024090920250627,0003216732024090920250627,Arco. Autostazione,0,SHAPE02705
345,0000000092024090920250627,0003240402024090920250627,Mezzocorona-Staz.Fs,1,SHAPE01792
638,0000000042024090920250627,0003260582024090920250627,Ora-Staz. Fs,1,SHAPE00063
343,0000000052024090920250627,0003199492024090920250627,Mezzocorona Ferr.,1,SHAPE00141
693,0000000022024090920250627,0003259732024090920250627,Borgo Valsugana-C.Intermodale,0,
494,0000000022024090920250627,0003227822024090920250627,Baselga. Municipio,1,SHAPE01917
562,0000006512024090920250627,0003234922024090920250627,S.Vito di Pergine,0,SHAPE01306
522,0000000062024090920250627,0003235422024090920250627,Borgo Valsugana-C.Intermodale,1,SHAPE00972
366,0000000072024090920250627,0003252502024090920250627,Cles. Autostazione,0,SHAPE00443
713,0000000052024090920250627,0003250762024090920250627,Mezzocorona-Staz.Fs,1,SHAPE00795
71,0000000022024090920250627,0003202492024090920250627,Tione. Autostazione,0,SHAPE00401
300,0000000062024090920250627,0003199652024090920250627,Pergine V. Intermodale,1,SHAPE00905
181,0000004512024090920250627,0003216112024090920250627,Garniga Vecchia,0,SHAPE02600
640,0000000022024090920250627,0003234652024090920250627,Pergine V. Intermodale,1,SHAPE00411
196,0000005902024090920250627,0003213362024090920250627,Folgaria. P.Le N.Unite,0,SHAPE00126
552,0000000822024090920250627,0003231572024090920250627,Pergine-Via Baratieri,1,SHAPE00576
345,0000006212024120820250316,0003247102024120820250316,Molveno,0,SHAPE00032
1,0000000022024090920250627,0003192572024090920250627,Trento. Autostazione,1,SHAPE02925
364,0000000822024090920250627,0003241732024090920250627,Fondo. Via Garibaldi,0,SHAPE00001
352,0000000022024090920250627,0003252892024090920250627,Trento Ftm,1,
640,0000004512024090920250627,0003234492024090920250627,Via S.Pietro 82-Villa Rosa,0,SHAPE00207
552,0000000022024090920250627,0003234002024090920250627,Roncogno,0,SHAPE00872
634,0000000072024090920250627,0003217922024090920250627,Rovereto. Via Paoli,1,SHAPE01004
102,0000000012024090920250627,0003237962024090920250627,Siror. Centro Sportivo,1,SHAPE02156
324,0000000022024090920250627,0003245102024090920250627,Somrabbi,0,SHAPE00047
503,0000000092024090920250627,0003216812024090920250627,Vò Sinistro-Passaggio Livello,0,SHAPE03037
345,0000000022024090920250627,0003240752024090920250627,Mezzocorona-Staz.Fs,1,SHAPE02984
110,0000000072024090920250627,0003217652024090920250627,Trento. Autostazione,1,SHAPE01140
334,0000006212024120820250316,0003246082024120820250316,Male',1,SHAPE00245
120,0000000042024090920250627,0003197552024090920250627,Trento. Autostazione,1,SHAPE01711
60,0000000322024090920250627,0003196582024090920250627,Palu' di Giovo,0,SHAPE00111
71,0000000022024103020250627,0003265412024103020250627,Tione. Autostazione,0,SHAPE00401
334,0000006212024120820250316,0003246152024120820250316,Marilleva 1400,0,SHAPE00455
157,0000004512024090920250627,0003210482024090920250627,Tione. Autostazione,1,SHAPE00847
215,0000006532024090920250627,0003222662024090920250627,Bastianello,0,SHAPE00219
334,0000006232024120820250316,0003246162024120820250316,Marilleva 1400,0,SHAPE00455
231,0000000052024090920250627,0003215412024090920250627,Mori. Bar Centrale,1,SHAPE03315
55,0000000092024102120250627,0003265232024102120250627,S.Michele,0,SHAPE00712
196,0000000022024090920250627,0003213462024090920250627,Lavarone Cappella,0,SHAPE02436
366,0000000062024102120250627,0003264752024102120250627,Cles. Autostazione,0,SHAPE00154
60,0000000052024090920250627,0003194962024090920250627,Palu' di Giovo,0,SHAPE00111
640,0000000042024090920250627,0003234722024090920250627,Via S.Pietro 82-Villa Rosa,0,SHAPE00207
520,0000000022024090920250627,0003226902024090920250627,Feltre. Staz. Fs,0,SHAPE01235
634,0000000022024090920250627,0003217432024090920250627,Rovereto. Via Paoli,1,SHAPE01004
332,0000000022024090920250627,0003244562024090920250627,Passo Tonale,0,SHAPE02477
695,0000000072024120120250627,0003264202024120120250627,Trento. Staz. Fs,1,
220,0000000022024090920250627,0003214152024090920250627,Ronzo Chienis,0,SHAPE02060
397,0000000022024102120250627,0003265002024102120250627,Portolo,0,SHAPE03088
713,0000005902024090920250627,0003250782024090920250627,Trento. Staz. Fs,1,SHAPE02572
184,0000000412024090920250627,0003227132024090920250627,Borgo Valsugana-C.Intermodale,1,SHAPE00020
375,0000000062024090920250627,0003242402024090920250627,Dambel,0,SHAPE00876
138,0000000062024090920250627,0003235382024090920250627,Baselga. Municipio,1,SHAPE00804
134,0000000022024090920250627,0003205302024090920250627,Trento. Autostazione,1,SHAPE00087
638,0000000072024090920250627,0003260732024090920250627,Ora-Staz. Fs,1,SHAPE00063
60,0000000062024090920250627,0003198992024090920250627,Palu' di Giovo,0,SHAPE02863
549,0000000052024090920250627,0003232722024090920250627,Nogare',0,SHAPE00024
130,0000000062024090920250627,0003192032024090920250627,Castelir di Bellamonte,0,SHAPE00285
181,0000000072024090920250627,0003221472024090920250627,Garniga Vecchia,0,SHAPE01671
153,0000006362024090920250627,0003210362024090920250627,Fiave',0,SHAPE03190
198,0000000022024090920250627,0003214592024090920250627,Folgaria. Via Battisti,0,SHAPE00320
102,0000000022024090920250627,0003237112024090920250627,Feltre. Staz. Fs,0,SHAPE01384
638,0000000022024090920250627,0003260962024090920250627,Cavalese. Autostazione,0,SHAPE00167
110,0000000092024090920250627,0003217062024090920250627,Trento. Autostazione,1,SHAPE00065
340,0000000822024090920250627,0003199342024090920250627,Rovere'. Trentinalatte,0,SHAPE01020
691,0000000022024120120250627,0003263662024120120250627,Bassano Del Grappa. Staz. Fs,0,
336,0000000052024090920250627,0003246862024090920250627,Peio,0,SHAPE00118
693,0000000072024090920250627,0003259942024090920250627,Borgo Valsugana-C.Intermodale,0,
171,0000000022024090920250627,0003201492024090920250627,Tiarno di Sopra,0,SHAPE00088
364,0000000022024090920250627,0003242092024090920250627,Castelfondo,0,SHAPE01681
695,0000000072024120120250627,0003263652024120120250627,Bassano Del Grappa. Staz. Fs,0,
155,0000000052024090920250627,0003202182024090920250627,Ponte Arche Autostazione,1,SHAPE01469
687,0000006272024090920250627,0003209992024090920250627,Vezzano. Apt,0,SHAPE01899
194,0000000022024090920250627,0003215632024090920250627,Rovereto. Staz. Fs,1,SHAPE00769
3,0000000062024090920250627,0003194832024090920250627,Valda. Piazza Melari 4,1,SHAPE01492
200,0000000042024090920250627,0003214392024090920250627,Rovereto. Via Manzoni,1,SHAPE00789
552,0000000062024090920250627,0003231532024090920250627,Pergine V. Intermodale,1,SHAPE00381
366,0000000022024090920250627,0003252652024090920250627,Termon,0,SHAPE00096
175,0000000022024090920250627,0003206012024090920250627,Vigo Cavedine,1,SHAPE02711
76,0000000022024090920250627,0003203262024090920250627,Viote,0,SHAPE00186
343,0000000022024090920250627,0003197422024090920250627,Mezzocorona Ferr.,1,SHAPE00141
420,0000000022024091020250627,0003262492024091020250627,Riva Del G. Autostazione,0,SHAPE00205
503,0000000092024090920250627,0003216772024090920250627,Trento. Autostazione,0,SHAPE02287
116,0000000302024090920250627,0003235852024090920250627,Imer,1,SHAPE02665
161,0000000062024090920250627,0003209762024090920250627,Ponte Arche Autostazione,1,SHAPE01372
153,0000000052024090920250627,0003207822024090920250627,Calvola,0,SHAPE01761
220,0000000062024090920250627,0003221512024090920250627,Rovereto. Via Manzoni,1,SHAPE00074
203,0000000042024090920250627,0003215422024090920250627,Ometto,0,SHAPE00507
378,0000000062024090920250627,0003242152024090920250627,Cis,0,SHAPE00060
562,0000006512024090920250627,0003234962024090920250627,Pergine V. Intermodale,1,SHAPE00414
215,0000000052024090920250627,0003215112024090920250627,Rovereto. Rosmini-Monumento,1,SHAPE02483
153,0000000052024090920250627,0003208512024090920250627,Riva Del G.Autostazione,1,SHAPE00036
169,0000000062024090920250627,0003235152024090920250627,Borgo Valsugana-C.Intermodale,1,SHAPE02716
110,0000000062024090920250627,0003216152024090920250627,Trento. Autostazione,1,SHAPE00065
352,0000000022024090920250627,0003252782024090920250627,Mezzana. Ftm,0,
354,0000000052024090920250627,0003243962024090920250627,Cles. Autostazione,1,SHAPE02527
63,0000000022024090920250627,0003192532024090920250627,Sover,0,SHAPE02049
108,0000000022024090920250627,0003237382024090920250627,Borgo Valsugana-C.Intermodale,1,SHAPE00518
134,0000000052024090920250627,0003208342024090920250627,Sarche. Centro Comm.,1,SHAPE02105
352,0000000022024090920250627,0003253062024090920250627,Male' Ferrovia,0,
157,0000000022024090920250627,0003210412024090920250627,Tione. Autostazione,1,SHAPE01042
336,0000000072024090920250627,0003244822024090920250627,Peio,0,SHAPE00052
549,0000000022024090920250627,0003234762024090920250627,Pergine V. Intermodale,1,SHAPE00048
181,0000000042024090920250627,0003215812024090920250627,Aldeno,0,SHAPE00057
526,0000000822024090920250627,0003219252024090920250627,Vigolo Vattaro,0,SHAPE00557
90,0000000052024090920250627,0003232942024090920250627,Levico Terme Autostazione,1,SHAPE00280
494,0000000012024090920250627,0003230422024090920250627,Gardolo. Zona Ind.Le,1,SHAPE00835
175,0000000022024090920250627,0003206172024090920250627,Vigo Cavedine,0,SHAPE01597
171,0000005902024090920250627,0003210152024090920250627,Tiarno di Sopra,0,SHAPE00088
552,0000000022024090920250627,0003230252024090920250627,Pergine V. Intermodale,1,SHAPE00095
71,0000000072024090920250627,0003202512024090920250627,Ponte Arche Autostazione,1,SHAPE00033
80,0000000062024090920250627,0003204052024090920250627,M. Terlago. Htl 2 Laghi,0,SHAPE00179
634,0000000042024103020250627,0003265452024103020250627,Rovereto. Via Paoli,1,SHAPE00655
184,0000000022024090920250627,0003227012024090920250627,Torcegno,0,SHAPE00630
300,0000000062024090920250627,0003198042024090920250627,Civezzano,0,SHAPE00849
106,0000000052024090920250627,0003235652024090920250627,Lausen,1,SHAPE01780
703,0000000052024090920250627,0003242982024090920250627,Mezzolombardo,0,SHAPE01277
636,0000000072024090920250627,0003212922024090920250627,Tione. Autostazione,1,SHAPE00460
366,0000000042024090920250627,0003252542024090920250627,Mezzocorona-Staz.Fs,1,SHAPE00101
233,0000000052024090920250627,0003219572024090920250627,Saccone,0,SHAPE01921
175,0000000042024090920250627,0003206902024090920250627,Trento. Autostazione,1,SHAPE01354
132,0000000022024090920250627,0003226942024090920250627,Borgo Valsugana-C.Intermodale,1,SHAPE00284
634,0000004512024090920250627,0003217732024090920250627,Rovereto. Via Paoli,1,SHAPE00655
695,0000000072024120120250627,0003263622024120120250627,Bassano Del Grappa. Staz. Fs,0,
345,0000004512024090920250627,0003241092024090920250627,Andalo-Maso Toscana,0,SHAPE02024
636,0000000072024102120250627,0003265042024102120250627,Tione. Autostazione,1,SHAPE00460
345,0000000072024090920250627,0003240742024090920250627,Mezzocorona-Staz.Fs,1,SHAPE02984
3,0000000042024090920250627,0003194772024090920250627,Trento. Autostazione,1,SHAPE00873
184,0000004512024090920250627,0003227172024090920250627,Borgo Valsugana-C.Intermodale,1,SHAPE00020
357,0000000022024090920250627,0003248582024090920250627,Cles. Autostazione,1,SHAPE00121
368,0000000062024090920250627,0003249842024090920250627,Sfruz,0,SHAPE00202
