"id","legal_name","position","addr_street","addr_housenumber","addr_postcode","municipality","health_facility_type","opening_hours","longitude","latitude","transport_option","user","bus_stop","train_stop","walking_distance"
"pharm-5","Famiglia Cooperativa Vallagarina","PiazzaRoma-6-38063-Avio","Piazza Roma","6",38063,"Avio","pharmacy",NA,10.9198632803229,45.7321595956525,NA,NA,NA,NA,NA
"pharm-6","Farmacia Bailo","PiazzaleDanteAlighieri-3A-38051-BorgoValsugana","Piazzale Dante Alighieri","3A",38051,"Borgo Valsugana","pharmacy","Mo-Sa 08:30-12:15,15:30-19:00; PH closed",11.4548786528763,46.0537032663744,"pharm-6_stop-ext-909_(0.68km-8min)","pharm-6","stop-ext-909",NA,"(0.68 km, 8 min)"
"pharm-6","Farmacia Bailo","PiazzaleDanteAlighieri-3A-38051-BorgoValsugana","Piazzale Dante Alighieri","3A",38051,"Borgo Valsugana","pharmacy","Mo-Sa 08:30-12:15,15:30-19:00; PH closed",11.4548786528763,46.0537032663744,"pharm-6_stop-ext-910_(0.79km-9min)","pharm-6","stop-ext-910",NA,"(0.79 km, 9 min)"
"pharm-6","Farmacia Bailo","PiazzaleDanteAlighieri-3A-38051-BorgoValsugana","Piazzale Dante Alighieri","3A",38051,"Borgo Valsugana","pharmacy","Mo-Sa 08:30-12:15,15:30-19:00; PH closed",11.4548786528763,46.0537032663744,"pharm-6_stop-ext-946_(0.28km-3min)","pharm-6","stop-ext-946",NA,"(0.28 km, 3 min)"
"pharm-6","Farmacia Bailo","PiazzaleDanteAlighieri-3A-38051-BorgoValsugana","Piazzale Dante Alighieri","3A",38051,"Borgo Valsugana","pharmacy","Mo-Sa 08:30-12:15,15:30-19:00; PH closed",11.4548786528763,46.0537032663744,"pharm-6_stop-ext-977_(0.25km-3min)","pharm-6","stop-ext-977",NA,"(0.25 km, 3 min)"
"pharm-6","Farmacia Bailo","PiazzaleDanteAlighieri-3A-38051-BorgoValsugana","Piazzale Dante Alighieri","3A",38051,"Borgo Valsugana","pharmacy","Mo-Sa 08:30-12:15,15:30-19:00; PH closed",11.4548786528763,46.0537032663744,"pharm-6_stop-ext-4327_(0.27km-3min)","pharm-6","stop-ext-4327",NA,"(0.27 km, 3 min)"
"pharm-6","Farmacia Bailo","PiazzaleDanteAlighieri-3A-38051-BorgoValsugana","Piazzale Dante Alighieri","3A",38051,"Borgo Valsugana","pharmacy","Mo-Sa 08:30-12:15,15:30-19:00; PH closed",11.4548786528763,46.0537032663744,"pharm-6_stop-ext-4626_(0.70km-8min)","pharm-6","stop-ext-4626",NA,"(0.70 km, 8 min)"
"pharm-6","Farmacia Bailo","PiazzaleDanteAlighieri-3A-38051-BorgoValsugana","Piazzale Dante Alighieri","3A",38051,"Borgo Valsugana","pharmacy","Mo-Sa 08:30-12:15,15:30-19:00; PH closed",11.4548786528763,46.0537032663744,"pharm-6_stop-ext-5609_(0.23km-3min)","pharm-6","stop-ext-5609",NA,"(0.23 km, 3 min)"
"pharm-6","Farmacia Bailo","PiazzaleDanteAlighieri-3A-38051-BorgoValsugana","Piazzale Dante Alighieri","3A",38051,"Borgo Valsugana","pharmacy","Mo-Sa 08:30-12:15,15:30-19:00; PH closed",11.4548786528763,46.0537032663744,"pharm-6_stop-train-1879_(0.58km-7min)","pharm-6",NA,"stop-train-1879","(0.58 km, 7 min)"
"pharm-6","Farmacia Bailo","PiazzaleDanteAlighieri-3A-38051-BorgoValsugana","Piazzale Dante Alighieri","3A",38051,"Borgo Valsugana","pharmacy","Mo-Sa 08:30-12:15,15:30-19:00; PH closed",11.4548786528763,46.0537032663744,"pharm-6_stop-train-1880_(0.29km-3min)","pharm-6",NA,"stop-train-1880","(0.29 km, 3 min)"
